Sr. No.,I/P Power (dBm),PCB1,Response PCB 1,PCB2,Response PCB 2,PCB3,Response PCB 3,PCB4,Response PCB 4,PCB5,Response PCB 5,PCB6,Response PCB 6
1,-60,212,-22,216,17,165,24,254,10,220,33,207,9
2,-59,190,14,233,17,189,18,264,15,253,-2,216,12
3,-58,204,23,250,19,207,16,279,15,251,18,228,16
4,-57,227,13,269,0,223,10,294,20,269,20,244,20
5,-56,240,25,269,2,233,24,314,23,289,24,264,23
6,-55,265,20,271,11,257,29,337,25,313,28,287,26
7,-54,285,25,282,6,286,31,362,29,341,30,313,30
8,-53,310,30,288,16,317,40,391,31,371,36,343,32
9,-52,340,30,304,22,357,31,422,34,407,35,375,36
10,-51,370,30,326,29,388,37,456,36,442,36,411,36
11,-50,400,38,355,26,425,40,492,38,478,38,447,39
12,-49,438,37,381,21,465,40,530,39,516,38,486,40
13,-48,475,38,402,35,505,40,569,40,554,41,526,43
14,-47,513,40,437,37,545,40,609,39,595,39,569,41
15,-46,553,40,474,39,585,42,648,42,634,42,610,42
16,-45,593,42,513,39,627,43,690,42,676,43,652,44
17,-44,635,41,552,40,670,44,732,43,719,44,696,44
18,-43,676,43,592,40,714,42,775,42,763,41,740,42
19,-42,719,44,632,42,756,43,817,42,804,41,782,43
20,-41,763,43,674,42,799,42,859,43,845,42,825,42
21,-40,806,42,716,43,841,40,902,39,887,39,867,40
22,-39,848,41,759,44,881,39,941,39,926,79,907,39
23,-38,889,41,803,43,920,40,980,39,1005,40,946,40
24,-37,930,39,846,44,960,40,1019,39,1045,39,986,40
25,-36,969,38,890,42,1000,39,1058,40,1084,41,1026,39
26,-35,1007,39,932,40,1039,41,1098,39,1125,42,1065,41
27,-34,1046,40,972,39,1080,42,1137,42,1167,42,1106,41
28,-33,1086,41,1011,39,1122,43,1179,42,1209,42,1147,43
29,-32,1127,41,1050,41,1165,42,1221,42,1251,42,1190,42
30,-31,1168,43,1091,49,1207,42,1263,41,1293,42,1232,44
31,-30,1211,43,1140,38,1249,42,1304,42,1335,41,1276,43
32,-29,1254,43,1178,42,1291,40,1346,41,1376,42,1319,42
33,-28,1297,43,1220,46,1331,44,1387,44,1418,39,1361,44
34,-27,1340,40,1266,43,1375,39,1431,39,1457,38,1405,39
35,-26,1380,40,1309,48,1414,39,1470,40,1495,35,1444,39
36,-25,1420,39,1357,35,1453,40,1510,39,1530,39,1483,40
37,-24,1459,38,1392,41,1493,40,1549,40,1569,41,1523,41
38,-23,1497,39,1433,39,1533,42,1589,41,1610,42,1564,41
39,-22,1536,40,1472,40,1575,43,1630,40,1652,43,1605,43
40,-21,1576,42,1512,39,1618,42,1670,42,1695,41,1648,44
41,-20,1618,42,1551,39,1660,44,1712,44,1736,42,1692,42
42,-19,1660,45,1590,40,1704,42,1756,43,1778,41,1734,44
43,-18,1705,44,1630,42,1746,41,1799,42,1819,40,1778,42
44,-17,1749,43,1672,43,1787,41,1841,41,1859,38,1820,41
45,-16,1792,42,1715,42,1828,39,1882,40,1897,40,1861,39
46,-15,1834,41,1757,43,1867,40,1922,39,1937,39,1900,40
47,-14,1875,41,1800,42,1907,41,1961,40,1976,37,1940,41
48,-13,1916,41,1842,42,1948,43,2001,42,2013,41,1981,41
49,-12,1957,41,1884,40,1991,44,2043,44,2054,42,2022,41
50,-11,1998,43,1924,40,2035,46,2087,45,2096,48,2063,45
51,-10,2041,46,1964,38,2081,48,2132,46,2144,47,2108,48
52,-9,2087,46,2002,43,2129,47,2178,46,2191,44,2156,46
53,-8,2133,48,2045,42,2176,43,2224,44,2235,43,2202,46
54,-7,2181,47,2087,77,2219,66,2268,43,2278,37,2248,42
55,-6,2228,43,2164,47,2285,8,2311,39,2315,34,2290,38
56,-5,2271,40,2211,47,2293,31,2350,32,2349,28,2328,34
57,-4,2311,36,2258,44,2324,60,2382,26,2377,0,2362,27
58,-3,2347,29,2302,39,2384,-15,2408,24,2377,24,2389,23
59,-2,2376,,2341,,2369,,2432,,2401,,2412,
